timestep_4,region_4,technology_3,parameter,value
hh0007,75FI,heatpumpAirSpace,effConv,3.658100518
hh0008,75FI,heatpumpAirSpace,effConv,3.874220385
hh0009,75FI,heatpumpAirSpace,effConv,4.046387673
hh0010,75FI,heatpumpAirSpace,effConv,4.06
hh0011,75FI,heatpumpAirSpace,effConv,4.06
hh0012,75FI,heatpumpAirSpace,effConv,4.06
hh0013,75FI,heatpumpAirSpace,effConv,4.06
hh0014,75FI,heatpumpAirSpace,effConv,4.06
hh0015,75FI,heatpumpAirSpace,effConv,4.06
hh0016,75FI,heatpumpAirSpace,effConv,4.06
hh0017,75FI,heatpumpAirSpace,effConv,4.029406867
hh0018,75FI,heatpumpAirSpace,effConv,4.008256869
hh0019,75FI,heatpumpAirSpace,effConv,3.835534634
hh0020,75FI,heatpumpAirSpace,effConv,3.743762371
hh0021,75FI,heatpumpAirSpace,effConv,3.453525056
hh0022,75FI,heatpumpAirSpace,effConv,3.557619678
hh0023,75FI,heatpumpAirSpace,effConv,2.45
hh0024,75FI,heatpumpAirSpace,effConv,3.164584323
hh0001,63BA,heatpumpAirSpace,effConv,2.903162642
hh0002,63BA,heatpumpAirSpace,effConv,3.528608324
hh0003,63BA,heatpumpAirSpace,effConv,3.493346051
hh0004,63BA,heatpumpAirSpace,effConv,3.81225972
hh0005,63BA,heatpumpAirSpace,effConv,3.954246652
hh0006,63BA,heatpumpAirSpace,effConv,3.877151117
hh0007,63BA,heatpumpAirSpace,effConv,3.959115192
hh0008,63BA,heatpumpAirSpace,effConv,4.024242436
hh0009,63BA,heatpumpAirSpace,effConv,4.06
hh0010,63BA,heatpumpAirSpace,effConv,4.06
hh0011,63BA,heatpumpAirSpace,effConv,4.06
hh0012,63BA,heatpumpAirSpace,effConv,4.06
hh0013,63BA,heatpumpAirSpace,effConv,4.06
hh0014,63BA,heatpumpAirSpace,effConv,4.06
hh0015,63BA,heatpumpAirSpace,effConv,4.06
hh0016,63BA,heatpumpAirSpace,effConv,4.06
