technology_3,timestep_2,carrier_1,carrier_2,parameter,value,source
oilBoilerProHighCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
oilBoilerProHighCC,,refinedOil,,emissionFac,26.342,CarbonCaptureCalculation
methaneBoilerProMedCC,,co2,co2Pure,ratioConvOutFix,0.189560652,CarbonCaptureCalculation
methaneBoilerProMedCC,2040,,,lifeConv,17,CarbonCaptureCalculation
methaneBoilerProMedCC,,,,effConv,0.93826434,CarbonCaptureCalculation
methaneBoilerProMedCC,,,,costExpConv,869.142,CarbonCaptureCalculation
methaneBoilerProMedCC,2040,,,costOprConv,24.9144,CarbonCaptureCalculation
methaneBoilerProMedCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
methaneBoilerProMedCC,,methane,,emissionFac,19.762,CarbonCaptureCalculation
methaneBoilerProLowCC,,co2,co2Pure,ratioConvOutFix,0.189560652,CarbonCaptureCalculation
methaneBoilerProLowCC,2040,,,lifeConv,17,CarbonCaptureCalculation
methaneBoilerProLowCC,,,,effConv,0.93826434,CarbonCaptureCalculation
methaneBoilerProLowCC,,,,costExpConv,869.142,CarbonCaptureCalculation
methaneBoilerProLowCC,2040,,,costOprConv,24.9144,CarbonCaptureCalculation
methaneBoilerProLowCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
methaneBoilerProLowCC,,methane,,emissionFac,19.762,CarbonCaptureCalculation
methaneBoilerProHighCC,,co2,co2Pure,ratioConvOutFix,0.189560652,CarbonCaptureCalculation
methaneBoilerProHighCC,2040,,,lifeConv,17,CarbonCaptureCalculation
methaneBoilerProHighCC,,,,effConv,0.93826434,CarbonCaptureCalculation
methaneBoilerProHighCC,,,,costExpConv,869.142,CarbonCaptureCalculation
methaneBoilerProHighCC,2040,,,costOprConv,24.9144,CarbonCaptureCalculation
methaneBoilerProHighCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
methaneBoilerProHighCC,,methane,,emissionFac,19.762,CarbonCaptureCalculation
digestateBoilerProMedCC,,co2,co2Pure,ratioConvOutFix,0.791556728,CarbonCaptureCalculation
digestateBoilerProMedCC,2040,,,lifeConv,17,CarbonCaptureCalculation
digestateBoilerProMedCC,,,,effConv,0.4548,CarbonCaptureCalculation
digestateBoilerProMedCC,,,,costExpConv,1755,CarbonCaptureCalculation
digestateBoilerProMedCC,2040,,,costOprConv,50.3,CarbonCaptureCalculation
digestateBoilerProMedCC,,,,avaConv,0.9,CarbonCaptureCalculation
digestateBoilerProMedCC,,biomass,digestate,emissionFac,-360,CarbonCaptureCalculation
digestateBoilerProLowCC,,co2,co2Pure,ratioConvOutFix,0.791556728,CarbonCaptureCalculation
digestateBoilerProLowCC,2040,,,lifeConv,17,CarbonCaptureCalculation
digestateBoilerProLowCC,,,,effConv,0.4548,CarbonCaptureCalculation
digestateBoilerProLowCC,,,,costExpConv,1755,CarbonCaptureCalculation
digestateBoilerProLowCC,2040,,,costOprConv,50.3,CarbonCaptureCalculation
digestateBoilerProLowCC,,,,avaConv,0.9,CarbonCaptureCalculation
digestateBoilerProLowCC,,biomass,digestate,emissionFac,-360,CarbonCaptureCalculation
digestateBoilerProHighCC,,co2,co2Pure,ratioConvOutFix,0.791556728,CarbonCaptureCalculation
digestateBoilerProHighCC,2040,,,lifeConv,17,CarbonCaptureCalculation
digestateBoilerProHighCC,,,,effConv,0.4548,CarbonCaptureCalculation
digestateBoilerProHighCC,,,,costExpConv,1755,CarbonCaptureCalculation
digestateBoilerProHighCC,2040,,,costOprConv,50.3,CarbonCaptureCalculation
digestateBoilerProHighCC,,,,avaConv,0.9,CarbonCaptureCalculation
digestateBoilerProHighCC,,biomass,digestate,emissionFac,-360,CarbonCaptureCalculation
bioBoilerProMedCC,,co2,co2Pure,ratioConvOutFix,0.239043825,CarbonCaptureCalculation
bioBoilerProMedCC,2040,,,lifeConv,17,CarbonCaptureCalculation
bioBoilerProMedCC,,,,effConv,0.94125,CarbonCaptureCalculation
bioBoilerProMedCC,,,,costExpConv,1083.9,CarbonCaptureCalculation
bioBoilerProMedCC,2040,,,costOprConv,31.2,CarbonCaptureCalculation
bioBoilerProMedCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
bioBoilerProMedCC,,rawBiogas,,emissionFac,-225,CarbonCaptureCalculation
bioBoilerProLowCC,,co2,co2Pure,ratioConvOutFix,0.239043825,CarbonCaptureCalculation
bioBoilerProLowCC,2040,,,lifeConv,17,CarbonCaptureCalculation
bioBoilerProLowCC,,,,effConv,0.94125,CarbonCaptureCalculation
bioBoilerProLowCC,,,,costExpConv,1083.9,CarbonCaptureCalculation
bioBoilerProLowCC,2040,,,costOprConv,31.2,CarbonCaptureCalculation
bioBoilerProLowCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
bioBoilerProLowCC,,rawBiogas,,emissionFac,-225,CarbonCaptureCalculation
bioBoilerProHighCC,,co2,co2Pure,ratioConvOutFix,0.239043825,CarbonCaptureCalculation
bioBoilerProHighCC,2040,,,lifeConv,17,CarbonCaptureCalculation
bioBoilerProHighCC,,,,effConv,0.94125,CarbonCaptureCalculation
bioBoilerProHighCC,,,,costExpConv,1083.9,CarbonCaptureCalculation
bioBoilerProHighCC,2040,,,costOprConv,31.2,CarbonCaptureCalculation
bioBoilerProHighCC,,,,avaConv,0.903846154,CarbonCaptureCalculation
bioBoilerProHighCC,,rawBiogas,,emissionFac,-225,CarbonCaptureCalculation
